Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.smart-immunizations-measles.json	29792	-	0	0	0	0	0	0	28	285	0	0	0	0	0	0	0	2	0	0	326	240	0	0	0	0	10	0	2
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1595	11	1	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	49	13	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1397	7	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	30	11	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2094	9	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	51	12	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	760	5	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	27	18	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	728	4	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	33	18	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	559	5	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	30	22	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ICD11.json	5865	23	0	0	1	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	96	40902	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3278	12	0	0	0	0	0	0	0	44	0	0	1	0	0	0	0	0	0	0	56	267	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE1.json	1049	7	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	21	234	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE5.json	2626	10	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	49	234	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.json	2732	10	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	30	198	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D4.json	1636	7	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	29	180	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	972	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	18	186	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZCConceptMap.json	7475	26	0	0	0	0	0	0	1	1918	0	0	0	0	0	0	0	0	0	0	69	100	0	0	1	0	2	0	0
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2382	10	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	28	37	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZD1ConceptMap.json	6751	24	0	0	0	0	0	0	1	908	0	0	0	0	0	0	0	0	0	0	116	56	0	0	0	0	1	0	1
fsh-generated/resources/ConceptMap-IMMZD4ConceptMap.json	6407	27	1	0	0	0	0	0	1	596	0	0	0	0	0	0	0	2	0	0	76	83	0	0	0	0	2	0	0
fsh-generated/resources/Immunization-Immunization1.json	890	7	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	33	47	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND05.json	3320	11	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	44	23	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND40.json	3321	12	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	52	16	0	0	0	0	1	0	0
fsh-generated/resources/Medication-Vaccine-MSDMMRVaxPro.json	1020	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-SIIMeasles.json	711	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	31	12	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-VaccineProposal1.json	459	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	18	26	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P123456.json	287	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0	0
